,date,state,positive
394,2020-04-11,DB,30
395,2020-04-11,DJ,43
396,2020-04-11,GL,183
397,2020-04-11,GR,47
398,2020-04-11,GJ,8
399,2020-04-11,HR,6
400,2020-04-11,HD,254
401,2020-04-11,IL,89
402,2020-04-11,IS,107
403,2020-04-11,IF,117
404,2020-04-11,MM,45
405,2020-04-11,MH,17
406,2020-04-11,MS,203
407,2020-04-11,NT,265
408,2020-04-11,OT,11
409,2020-04-11,PH,39
410,2020-04-11,SM,32
411,2020-04-11,SJ,13
412,2020-04-11,SB,101
413,2020-04-11,SV,1614
414,2020-04-11,TR,59
415,2020-04-11,TM,275
416,2020-04-11,TL,13
417,2020-04-11,VS,38
418,2020-04-11,VL,13
419,2020-04-11,VN,116
420,2020-04-11,B,730
421,2020-04-12,AB,108
422,2020-04-12,AR,249
423,2020-04-12,AG,57
424,2020-04-12,BC,69
425,2020-04-12,BH,83
426,2020-04-12,BN,82
427,2020-04-12,BT,156
428,2020-04-12,BV,238
429,2020-04-12,BR,16
430,2020-04-12,BZ,13
431,2020-04-12,CS,51
432,2020-04-12,CL,35
433,2020-04-12,CJ,183
434,2020-04-12,CT,157
435,2020-04-12,CV,117
436,2020-04-12,DB,30
437,2020-04-12,DJ,43
438,2020-04-12,GL,190
439,2020-04-12,GR,49
440,2020-04-12,GJ,8
441,2020-04-12,HR,7
442,2020-04-12,HD,303
443,2020-04-12,IL,100
444,2020-04-12,IS,113
445,2020-04-12,IF,119
446,2020-04-12,MM,49
447,2020-04-12,MH,17
448,2020-04-12,MS,217
449,2020-04-12,NT,285
450,2020-04-12,OT,12
451,2020-04-12,PH,39
452,2020-04-12,SM,37
453,2020-04-12,SJ,17
454,2020-04-12,SB,109
455,2020-04-12,SV,1661
456,2020-04-12,TR,62
457,2020-04-12,TM,284
458,2020-04-12,TL,14
459,2020-04-12,VS,40
460,2020-04-12,VL,13
461,2020-04-12,VN,117
462,2020-04-12,B,751
463,2020-04-13,AB,109
464,2020-04-13,AR,270
465,2020-04-13,AG,57
466,2020-04-13,BC,76
467,2020-04-13,BH,176
468,2020-04-13,BN,82
469,2020-04-13,BT,156
470,2020-04-13,BV,253
471,2020-04-13,BR,16
472,2020-04-13,BZ,13
473,2020-04-13,CS,53
474,2020-04-13,CL,39
475,2020-04-13,CJ,187
476,2020-04-13,CT,151
477,2020-04-13,CV,123
478,2020-04-13,DB,31
479,2020-04-13,DJ,44
480,2020-04-13,GL,195
481,2020-04-13,GR,64
482,2020-04-13,GJ,10
483,2020-04-13,HR,7
484,2020-04-13,HD,303
485,2020-04-13,IL,102
486,2020-04-13,IS,118
487,2020-04-13,IF,126
488,2020-04-13,MM,49
489,2020-04-13,MH,19
490,2020-04-13,MS,222
491,2020-04-13,NT,286
492,2020-04-13,OT,12
493,2020-04-13,PH,39
494,2020-04-13,SM,37
495,2020-04-13,SJ,17
496,2020-04-13,SB,111
497,2020-04-13,SV,1731
498,2020-04-13,TR,65
499,2020-04-13,TM,300
500,2020-04-13,TL,16
501,2020-04-13,VS,47
502,2020-04-13,VL,13
503,2020-04-13,VN,134
504,2020-04-13,B,774
505,2020-04-14,AB,118
506,2020-04-14,AR,280
507,2020-04-14,AG,59
508,2020-04-14,BC,76
509,2020-04-14,BH,190
510,2020-04-14,BN,89
511,2020-04-14,BT,172
512,2020-04-14,BV,263
513,2020-04-14,BR,16
514,2020-04-14,BZ,14
515,2020-04-14,CS,57
516,2020-04-14,CL,39
517,2020-04-14,CJ,198
518,2020-04-14,CT,158
519,2020-04-14,CV,124
520,2020-04-14,DB,31
521,2020-04-14,DJ,43
522,2020-04-14,GL,204
523,2020-04-14,GR,74
524,2020-04-14,GJ,10
525,2020-04-14,HR,7
526,2020-04-14,HD,320
527,2020-04-14,IL,108
528,2020-04-14,IS,119
529,2020-04-14,IF,132
530,2020-04-14,MM,51
531,2020-04-14,MH,22
532,2020-04-14,MS,229
533,2020-04-14,NT,304
534,2020-04-14,OT,13
535,2020-04-14,PH,39
536,2020-04-14,SM,37
537,2020-04-14,SJ,18
538,2020-04-14,SB,116
539,2020-04-14,SV,1733
540,2020-04-14,TR,70
541,2020-04-14,TM,318
542,2020-04-14,TL,18
543,2020-04-14,VS,49
544,2020-04-14,VL,15
545,2020-04-14,VN,157
546,2020-04-14,B,789
547,2020-04-15,AB,133
548,2020-04-15,AR,312
549,2020-04-15,AG,62
550,2020-04-15,BC,81
551,2020-04-15,BH,198
552,2020-04-15,BN,93
553,2020-04-15,BT,231
554,2020-04-15,BV,270
555,2020-04-15,BR,16
556,2020-04-15,BZ,14
557,2020-04-15,CS,57
558,2020-04-15,CL,41
559,2020-04-15,CJ,203
560,2020-04-15,CT,163
561,2020-04-15,CV,123
562,2020-04-15,DB,31
563,2020-04-15,DJ,55
564,2020-04-15,GL,229
565,2020-04-15,GR,75
566,2020-04-15,GJ,10
567,2020-04-15,HR,7
568,2020-04-15,HD,320
569,2020-04-15,IL,110
570,2020-04-15,IS,121
571,2020-04-15,IF,135
572,2020-04-15,MM,55
573,2020-04-15,MH,22
574,2020-04-15,MS,243
575,2020-04-15,NT,344
576,2020-04-15,OT,13
577,2020-04-15,PH,39
578,2020-04-15,SM,39
579,2020-04-15,SJ,18
580,2020-04-15,SB,120
581,2020-04-15,SV,1763
582,2020-04-15,TR,74
583,2020-04-15,TM,322
584,2020-04-15,TL,23
585,2020-04-15,VS,52
586,2020-04-15,VL,15
587,2020-04-15,VN,160
588,2020-04-15,B,824
589,2020-04-16,AB,141
590,2020-04-16,AR,339
591,2020-04-16,AG,67
592,2020-04-16,BC,94
593,2020-04-16,BH,219
594,2020-04-16,BN,93
595,2020-04-16,BT,290
596,2020-04-16,BV,286
597,2020-04-16,BR,16
598,2020-04-16,BZ,14
599,2020-04-16,CS,58
600,2020-04-16,CL,41
601,2020-04-16,CJ,215
602,2020-04-16,CT,168
603,2020-04-16,CV,123
604,2020-04-16,DB,31
605,2020-04-16,DJ,55
606,2020-04-16,GL,240
607,2020-04-16,GR,80
608,2020-04-16,GJ,10
609,2020-04-16,HR,9
610,2020-04-16,HD,333
611,2020-04-16,IL,114
612,2020-04-16,IS,130
613,2020-04-16,IF,154
614,2020-04-16,MM,55
615,2020-04-16,MH,28
616,2020-04-16,MS,250
617,2020-04-16,NT,348
618,2020-04-16,OT,13
619,2020-04-16,PH,48
620,2020-04-16,SM,41
621,2020-04-16,SJ,19
622,2020-04-16,SB,125
623,2020-04-16,SV,1910
624,2020-04-16,TR,76
625,2020-04-16,TM,341
626,2020-04-16,TL,24
627,2020-04-16,VS,54
628,2020-04-16,VL,15
629,2020-04-16,VN,174
630,2020-04-16,B,866
631,2020-04-17,AB,141
632,2020-04-17,AR,360
633,2020-04-17,AG,73
634,2020-04-17,BC,107
635,2020-04-17,BH,222
636,2020-04-17,BN,94
637,2020-04-17,BT,310
638,2020-04-17,BV,299
639,2020-04-17,BR,16
640,2020-04-17,BZ,14
